mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.038648764292399086,0.014541039332924392,0.04606763521830241,0.0022102783398419224,1,rbf,"{'C': 1, 'kernel': 'rbf'}",-0.08656311005679918,-0.1286059667544217,-0.08704662383236572,-0.10073856688119553,0.01970621607790302,4
0.05446871121724447,0.006819124046880854,0.03159705797831217,0.01571514506898987,1,linear,"{'C': 1, 'kernel': 'linear'}",-0.07906778368937961,-0.125218633408283,-0.07883851693281696,-0.09437497801015986,0.021809958727609487,3
0.03666567802429199,0.005609553115878685,0.07462199529012044,0.028954712615812714,10,rbf,"{'C': 10, 'kernel': 'rbf'}",-0.07175440968815239,-0.11925451730470327,-0.07288239209548508,-0.08796377302944691,0.022130689009494324,2
0.020605007807413738,0.002076312930382831,0.007257223129272461,0.0007431972536205301,10,linear,"{'C': 10, 'kernel': 'linear'}",0.002598664136502671,-0.03991907172895792,0.003925641728058316,-0.011131588621465646,0.020363031947301588,1
