mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.15730881690979004,0.008085867132345681,0.006988366444905599,0.0023407685027092002,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8159046781144015,0.8450156903694387,0.8103893497590617,0.8237699060809675,0.015190835488126754,1
0.12480123837788899,0.036595274346989004,0.014549493789672852,0.005540109072618909,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.8143951758985772,0.8411296616755221,0.8096161885718515,0.8217136753819836,0.013867109114265228,3
0.047722975413004555,0.011721570840839513,0.0047906239827473955,0.0021751290387806758,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8149833068731029,0.8390585666282591,0.811171955281825,0.821737942927729,0.012345973817932373,2
0.037225564320882164,0.0011089338991732713,0.0021223227183024087,8.43463547689771e-05,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7945782230218709,0.8295631816747182,0.7922708440413939,0.8054707495793276,0.01706194523187279,4
