mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.04782636960347494,0.005868739959474016,0.03619082768758138,0.007626421672892346,1,rbf,"{'C': 1, 'kernel': 'rbf'}",-0.08656311005679918,-0.1286059667544217,-0.08704662383236572,-0.10073856688119553,0.01970621607790302,4
0.032491048177083336,0.002360714691704366,0.01180593172709147,0.0047237829268959464,1,linear,"{'C': 1, 'kernel': 'linear'}",-0.07906778368937961,-0.125218633408283,-0.07883851693281696,-0.09437497801015986,0.021809958727609487,3
0.043630758921305336,0.004954254784606517,0.028660297393798828,0.006615159773305529,10,rbf,"{'C': 10, 'kernel': 'rbf'}",-0.07175440968815239,-0.11925451730470327,-0.07288239209548508,-0.08796377302944691,0.022130689009494324,2
0.018511613210042317,0.005601071100980975,0.004385073979695638,0.00022145602549219023,10,linear,"{'C': 10, 'kernel': 'linear'}",0.002598664136502671,-0.03991907172895792,0.003925641728058316,-0.011131588621465646,0.020363031947301588,1
