mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.011565605799357096,0.004420175761741391,0.0028551419576009116,0.0013686467259194815,0.1,{'alpha': 0.1},0.7223284031437016,0.7203919527733265,0.7328154918434935,0.7251786159201737,0.005457646953914957,1
0.009675979614257812,0.0024358845349934954,0.001163164774576823,9.543820245413488e-05,1.0,{'alpha': 1.0},0.7219214079245406,0.7210205048864403,0.7325727847909326,0.7251715658673045,0.005246359864237124,2
0.0049555301666259766,0.0025028972357771127,0.0009336471557617188,0.0001312802641178737,10.0,{'alpha': 10.0},0.7105898793788421,0.7185375489772368,0.7239094119689307,0.7176789467750032,0.005471464484691953,3
