mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0700987180074056,0.0035291350244239647,0.005215009053548177,0.0011045333033306351,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8229919701486827,0.8517657839219848,0.8422239939240148,0.8389939159982275,0.011966847045627357,3
0.11015502611796062,0.01378097847455376,0.005506356557210286,0.000716444255455325,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.829968900716903,0.8561791310536034,0.8447182185707213,0.8436220834470759,0.010728316976820109,1
0.0811920166015625,0.03862312012663001,0.0016143321990966797,0.00020562603829503274,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8287145564843909,0.8554499984991979,0.8458902117523829,0.8433515889119906,0.011061326604468943,2
0.07536729176839192,0.022854680656470998,0.0013620853424072266,4.947515844324417e-05,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8213762160401703,0.8483596655287996,0.8301111153587719,0.8332823323092473,0.011241859255674417,4
